BUSINESS NAME,ADDRESS,SUBURB,STATE,POSTCODE,PHONE,FAX,EMAIL,WEBSITE,BUSINESS CATEGORY;,Column1,_1,_2
Beaurepaires,Cnr. Canberra Ave. & Ipswich St.,FYSHWICK,ACT,2609,262806776,262806776,01608_aus_store@beaurepaires.com.au,,Tyre Retailers;,,,
Beaurepaires,Unit 2/4 Obrien Pl,GUNGAHLIN,ACT,2912,262410622,262410622,02400_aus_store@beaurepaires.com.au,,Tyre Retailers;,,,
Beaurepaires,96 Maryborough St,FYSHWICK,ACT,2609,262804688,262804688,06909_aus_store@beaurepaires.com.au,,Tyre Retailers;,,,
Golding's Carpentry Pty Ltd,136 Paul Coe Cres,NGUNNAWAL,ACT,2913,262415817,262415817,4golding@tpg.com.au,www.goldingscarpentry.com.au,Building Contractors - General;,,,
Golding's Carpentry Pty Ltd,136 Paul Coe Cres,NGUNNAWAL,ACT,2913,412265402,262415817,4golding@tpg.com.au,www.goldingscarpentry.com.au,Building Contractors - General;,,,
Golding's Carpentry Pty Ltd,136 Paul Coe Cres,NGUNNAWAL,ACT,2913,262415817,262415817,4golding@tpg.com.au,www.goldingscarpentry.com.au,Carpenters Joiners & Fitters;,,,
Golding's Carpentry Pty Ltd,136 Paul Coe Cres,NGUNNAWAL,ACT,2913,412265402,262415817,4golding@tpg.com.au,www.goldingscarpentry.com.au,Carpenters Joiners & Fitters;,,,
Bellerive Homes,35 Burnie St,LYONS,ACT,2606,262812121,262812124,a.dewaal@bellerive.net.au,www.bellerive.net.au,Building Contractors - General;,,,
A1 Classic Car Rentals,,WEETANGERA,ACT,2614,262546000,,a1cars@bigpond.com,www.a1classiccars.com.au,Chauffeur Driven Cars/Limousine Services;,,,
A1 Classic Car Rentals,,WEETANGERA,ACT,2614,410565261,,a1cars@bigpond.com,www.a1classiccars.com.au,Chauffeur Driven Cars/Limousine Services;,,,
